iter	RMSE
0	66.41516443
1	60.80384195
2	55.74003436
3	51.4175129
4	47.11222857
5	43.30644176
6	39.73639788
7	36.80034992
8	33.97381759
9	31.44887098
10	29.12026233
11	26.97770292
12	25.17064292
13	23.49756997
14	22.11839361
15	20.67091697
16	19.44613324
17	18.30054309
18	17.30951811
19	16.37859357
20	15.50732901
21	14.75181491
22	14.03573255
23	13.43664388
24	12.87514973
25	12.43173551
26	11.94456728
27	11.58267441
28	11.24513214
29	10.98581889
30	10.71045367
31	10.51521273
32	10.30398158
33	10.09676456
34	9.943257094
35	9.817396251
36	9.63953025
37	9.498134009
38	9.383538366
39	9.29986351
40	9.220916159
41	9.152498438
42	9.087592793
43	9.024656851
44	8.969205296
45	8.919761978
46	8.860248207
47	8.769280395
48	8.710874716
49	8.652841852
50	8.612098453
51	8.57552635
52	8.526529733
53	8.495066426
54	8.444583135
55	8.410748747
56	8.367342863
57	8.33072848
58	8.28014448
59	8.244404843
60	8.193767352
61	8.155577444
62	8.112761056
63	8.07532489
64	8.038216475
65	7.997590587
66	7.976250054
67	7.950313571
68	7.910941792
69	7.88224692
70	7.827928302
71	7.81256791
72	7.776929451
73	7.750470827
74	7.728214095
75	7.723586553
76	7.687930345
77	7.631067689
78	7.606081827
79	7.580479389
80	7.574373788
81	7.568931172
82	7.5639403
83	7.559537455
84	7.552893664
85	7.548486296
86	7.49709188
87	7.457348007
88	7.452391295
89	7.447654815
90	7.413066307
91	7.395392265
92	7.349407017
93	7.304857788
94	7.270895508
95	7.259774855
96	7.225104369
97	7.192219304
98	7.149032665
99	7.114802507
100	7.111141887
101	7.106616667
102	7.073671886
103	7.051223646
104	7.021933288
105	6.986087104
106	6.982634733
107	6.978119663
108	6.944186458
109	6.923817684
110	6.902763686
111	6.86213734
112	6.830194575
113	6.826890001
114	6.805498171
115	6.796515456
116	6.793256874
117	6.755240181
118	6.723910814
119	6.70012973
120	6.683223681
121	6.657684039
122	6.634599015
123	6.610791521
124	6.585213226
125	6.582107016
126	6.55686189
127	6.528046276
128	6.506787103
129	6.485750304
130	6.478308473
131	6.453429425
132	6.416461521
133	6.41272605
134	6.395488484
135	6.376454811
136	6.349526028
137	6.330001584
138	6.299847003
139	6.285425302
140	6.282316483
141	6.272720246
142	6.246096975
143	6.219198404
144	6.196496022
145	6.186306687
146	6.17869835
147	6.161770215
148	6.128247983
149	6.100989818
150	6.098306327
151	6.073483428
152	6.053793174
153	6.025706279
154	6.005651372
155	5.987428749
156	5.974216285
157	5.956389123
158	5.938190706
159	5.915720722
160	5.913038605
161	5.89644219
162	5.869707405
163	5.846473008
164	5.828049194
165	5.811018045
166	5.788200253
167	5.782953023
168	5.765888215
169	5.752653501
170	5.742564911
171	5.734763619
172	5.71712075
173	5.696084304
174	5.676887276
175	5.666265456
176	5.648379332
177	5.642206144
178	5.632749272
179	5.614407403
180	5.603663154
181	5.601391709
182	5.583758448
183	5.58184123
184	5.57122247
185	5.549380923
186	5.547568588
187	5.536248959
188	5.525883862
189	5.523893783
190	5.502380988
191	5.493031116
192	5.484454731
193	5.462996324
194	5.443017677
195	5.43935437
196	5.435284281
197	5.427599536
198	5.406913471
199	5.397380099
200	5.374906095
201	5.348956493
202	5.339094421
203	5.32167991
204	5.319789358
205	5.30639979
206	5.300731072
207	5.286601823
208	5.285046767
209	5.281460919
210	5.278134526
211	5.254838177
212	5.233045527
213	5.22900114
214	5.209899629
215	5.208373439
216	5.179150763
217	5.155136866
218	5.143500028
219	5.118886314
220	5.10592784
221	5.089618652
222	5.087569838
223	5.073630148
224	5.060373212
225	5.051753829
226	5.034216447
227	5.015887826
228	5.014515096
229	4.996684805
230	4.989096951
231	4.976157877
232	4.972584902
233	4.956371209
234	4.955008899
235	4.94326638
236	4.939605897
237	4.926345927
238	4.911862371
239	4.896593798
240	4.878860683
241	4.873404294
242	4.859441703
243	4.848408063
244	4.834370717
245	4.819696768
246	4.816151815
247	4.804307699
248	4.788620316
